title,ingredients,url
Marinerte reker i agurk,200 gr Reker  (håndpillede eller i lake); 30 gr Rød paprika  (hakket); 30 gr Grønn paprika  (hakket); 1 ss Hakket chili  (mild); 1 fedd Hakket hvitløk; 0.5 dl Olivenolje; 1 stk Agurk,https://www.rema.no/oppskrifter/skalldyr/reker/marinerte-reker-i-agurk/
Vegetarpizza med tomat og basilikum,1 ts Tørrgjær; 0.5 dl Extra virgin olivenolje; 5 dl Pizzamel tipo 0 eller 00  (hvetemel kan også brukes); 3 dl Lunkent vann; 0.5 ts Sukker; 0.5 ts Salt; 1 kurv Cherrytomater eller små plommetomater; 1 pose Mozzarellaball; 0.5 potte Basilikum; 1 klype Flaksalt,https://www.rema.no/oppskrifter/pizza/vegetarpizza-med-tomat-og-basilikum/
Ristede mandler med sitronskall,200 gr Mandler; 2 ss Olivenolje; 1 ss Revet sitronskall; 0.5 ts Salt  (gjerne Maldonsalt),https://www.rema.no/oppskrifter/notter/ristede-mandler-med-sitronskall/
Chutney med koriander,1 ts Ingefær; 1 stk Grønn chili; 1 fedd Hvitløk; 1 potte Koriander; 5 stk Usaltede cashewnøtter; 2 ts Malt spisskummen; 1 ss Sitronsaft; 3 ss Yoghurt naturell; 1 klype Salt,https://www.rema.no/oppskrifter/saus-dressing-og-dipp/saus/chutney-med-koriander/
Kremet fiskesuppe med blåskjell,400 gr Laks; 200 gr Torsk; 1 kg Blåskjell; 2 stk Gulrøtter; 1 stk Purreløk; 2 dl Grønne erter; 2 stk Sjalottløk; 1 stk Fennikel; 2 dl Helmelk; 3 dl Fløte; 1 ss Sitronsaft; 1 potte Frisk dill; 2 ss Smør; 2 ss Hvetemel; 1 l Vann eller blåskjellkraft; 1 klype Salt; 1 klype Pepper,https://www.rema.no/oppskrifter/skalldyr/blaskjell/kremet-fiskesuppe-med-blaskjell/
Jambalaya,400 gr Kylling lårfilet; 200 gr Chorizo; 150 gr Bacon; 1 stk Stor løk; 3 fedd Hvitløk; 1 stk Rød chili  (eller mer); 2 stk Paprika; 1 ss Paprikapulver; 1 ts Tørket timian; 200 gr Risottoris; 1 boks Hermetiske tomater; 100 gr Grønne erter; 300 gr Reker med skall; 1 neve Persille; 1 stk Lime; 1 ss Olivenolje til steking; 0.5 ts Chilipulver  (eller mer); 0.5 ss Gurkemeie; 5 dl Varm kyllingkraft  (vann + buljongterning); 1 klype Salt; 1 klype Pepper,https://www.rema.no/oppskrifter/kylling-og-hons/kyllingfilet/jambalaya/
Salsa verde,1 stk Sjalottløk; 1 fedd Hvitløk; 1 dl Hakket persille; 1 dl Hakket basilikum; 1 dl Hakket mynte; 1 stk Rød chili  (etter ønsket styrke); 1 ss Sitron; 1 dl Olivenolje; 1 klype Salt,https://www.rema.no/oppskrifter/saus-dressing-og-dipp/saus/salsa-verde/
Tagliatelle med blåskjell og scampi,400 gr Tagliatelle; 1 stk Sjalottløk; 1 stk Rød chili; 1 dl Tørr hvitvin  (kan sløyfes); 1 kg Blåskjell; 2 dl Matfløte; 1 ts Maizena  (valgfritt); 0.5 stk Sitron; 0.5 ts Sriracha  (eller mer); 1 pk Scampi med hvitløkssmør  (140 g); 1 neve Persille; 2 ss Olivenolje; 1 klype Salt; 1 klype Pepper,https://www.rema.no/oppskrifter/pasta/tagliatelle-med-blaskjell-og-scampi/
Penne med tomatsaus og mozzarella,500 gr Penne; 0.5 potte Basilikum; 1 stk Fersk mozzarella; 1 neve Revet parmesan; 1 boks Hermetiske tomater; 1 stk Liten løk; 2 fedd Hvitløk; 50 gr Parmesan; 0.5 potte Basilikum; 2 ss Olivenolje; 50 gr Smør,https://www.rema.no/oppskrifter/pasta/penne-med-tomatsaus-og-mozzarella/
Minifocaccia med oliven og rosmarin,1 pose Tørrgjær; 3 dl Lunkent vann; 1 ss Honning; 2 ts Salt; 0.5 dl God olivenolje; 6 dl Hvetemel; 1 neve Sort oliven; 1 neve Fersk rosmarin; 0.5 dl God olivenolje; 0.5 ss Flaksalt  (mengde tilpasses etter smak),https://www.rema.no/oppskrifter/bakst/brod-og-rundstykker/minifocaccia-med-oliven-og-rosmarin/
Kyllinglår med ovnsbakte urtepoteter,"4 stk Oppkuttede bryst- og/eller lårstykker  (eller 1 stor kylling); 3 fedd Hvitløk, uskrelte og knuste; 0.5 neve Ferske rosmarinblader; 0.5 neve Ferske timianblader; 1 ss Smør; 2 ss Solsikkeolje; 1 klype Salt; 1 klype Pepper; 1.5 dl Kyllingkraft eller vann; 800 gr Nypoteter; 1 fedd Hvitløk; 1 stk Sitron; 0.5 dl Hakkede urter  (rosmarin og timian); 2 ss Smør; 1 klype Salt",https://www.rema.no/oppskrifter/kylling-og-hons/kyllinglar/kyllinglar-med-ovnsbakte-urtepoteter/
Panzanella – italiensk brødsalat,350 gr Brød  (ciabatta eller annet godt brød); 1 stk Stor aubergine; 1 kg Gode tomater; 1 stk Fersk mozzarella; 1 neve Frisk basilikum; 2 ss Eddik  (rød); 1 stk Rød chili; 2 fedd Hvitløk; 4 ss Extra virgin olivenolje; 1 klype Salt; 1 klype Pepper; 2 ss Extra virgin olivenolje,https://www.rema.no/oppskrifter/gronnsaker/panzanella-italiensk-brodsalat/
Meksikansk «ratatouille»,1 stk Gulrot; 1 stk Blomkål; 1 stk Purre; 1 stk Grønn squash; 1 stk Rødløk; 1 stk Rød paprika; 1 stk Gul paprika; 2 stk Tomater; 1 stk Hvitløk; 2 stk Rød chili; 2 stk Lime; 30 gr Parmesan  (ca. 1 stk.); 1 neve Koriander og persille; 2 ss Olivenolje; 1 klype Salt; 1 klype Pepper; 1 stk Liten løk; 1 fedd Hvitløk; 4.5 dl Middagsris; 1 ts Spisskummen; 2 ts Chilipulver; 1 boks Hakkede tomater; 4 dl Grønnsakskraft  (eventuelt vann); 2 ss Solsikkeolje; 1 ts Salt,https://www.rema.no/oppskrifter/gronnsaker/meksikansk-ratatouille/
Salsa med ananas,3 dl Hakket fersk ananas; 0.5 stk Rødløk; 0.5 stk Rød chili; 0.3 stk Rød paprika; 3 ss Presset sitronsaft; 1 ss Finhakket frisk koriander; 2 ts Finhakket frisk mynte; 2 ts Sukker; 0.5 ts Salt,https://www.rema.no/oppskrifter/saus-dressing-og-dipp/salsa-med-ananas/
Curtido – fermentert kål relish,400 gr Hodekål; 2 stk Gulrøtter; 1 stk Liten løk; 1 stk Rød chili; 3 ss Eplecidereddik; 1 ts Solsikkeolje; 2 ts Sukker; 1 ts Salt,https://www.rema.no/oppskrifter/gronnsaker/curtido-fermentert-kal-relish/
Krydderkokte pærer med vaniljeis,"8 stk Harde pærer; 0.5 l Eplemost; 4 stk Kanelstenger; 10 stk Nellikspiker; 10 stk Sorte pepperkorn; 2 ts Malt kardemomme; 2 stk Vaniljestenger; 1 stk Sitron, finrevet skall og saft; 0.5 l Vann; 200 gr Sukker; 5 stk Eggeplommer; 2 stk Vaniljestenger, kun frøene  (stengene brukes i krydderlaken til pærene); 4 dl Kremfløte; 1 dl Sukker; 0.5 dl Vann",https://www.rema.no/oppskrifter/dessert-og-bakst/frukt-og-baer/krydderkokte-parer-med-vaniljeis/
Langstidskokt oksegryte med bacon,800 gr Oksehøyrygg; 2 ss Tomatpuré; 0.5 dl Rødvinseddik; 3 stk Laurbærblad; 2 stk Gulrot; 4 fedd Hvitløk; 100 gr Bacon i terninger; 1 neve Bladpersille; 500 gr Sjalottløk; 2 stang Rosmarin; 2 ss Solsikkeolje; 2 ts Salt; 0.5 ts Kvernet sort pepper; 2 ss Hvetemel; 4 dl Vann  (ca. mengde); 2 ss Solsikkeolje; 200 gr Makaroni; 3 dl Melk; 1 dl Crème fraîche; 150 gr Revet ost  (gjerne en blanding med cheddar); 1 stk Rød chili; 2 ss Smør; 2 ss Hvetemel,https://www.rema.no/oppskrifter/biff/langstidskokt-oksegryte-med-bacon/
Urtesalat,2 ts Dijonsennep; 1 pose Ruccola; 1 potte Dill; 1 potte Persille; 1 potte Gressløk; 1 ss Hvitvinseddik; 0.5 dl Olivenolje; 1 klype Salt; 1 klype Pepper,https://www.rema.no/oppskrifter/gronnsaker/urtesalat/
Laksetartar med urtekrem,"300 gr Laksefilet uten skinn og ben; 2 ss Fersk gressløk; 0.3 ts Malt hvit pepper; 1 ts Salt; 0.3 ts Sukker; 3 ss Olivenolje; 1 stk Crème fraîche eller seterrømme; 1 dl Friske urter som dill, persille og gressløk; 1 ss Hvitvinseddik; 1 ss Sukker; 1 klype Salt; 1 klype Pepper; 1 dl Eddik klar 7 %; 5 skive Ingefær; 1 stk Sint chili; 2 ss Fish sauce  (eventuelt soyasaus); 2 ts Sesamolje; 300 gr Assorterte harde grønnsaker  (gulrot, bønner, løk etc.); 0.5 dl Sukker; 1 dl Vann; 1 dl Ketjap manis   (eventuelt 50/50 soyasaus og brunt sukker); 0.5 stk Lime  (saft og revet skall); 1 ts Revet frisk ingefær; 1 ts Rød chili; 1 ss Fersk koriander; 1 ts Hvitløk; 2 ss Soyasaus; 1 ts Sesamolje",https://www.rema.no/oppskrifter/fisk/laks/laksetartar-med-urtekrem/
Tyttebærsaus,"1 dl Rødvinseddik; 1 dl Hakket sjalottløk; 5 stk Knust sort pepper; 10 stk Einebær, knuste; 1 dl Solbærsirup; 1.5 l Kraft, vilt, okse eller kalv; 2 dl Tyttebær  (spar 1 dl til garnityr i sausen); 1 ss Maizena; 50 gr Usaltet smør; 3 ss Sukker; 1 klype Salt; 1 klype Pepper",https://www.rema.no/oppskrifter/saus-dressing-og-dipp/tyttebarsaus/
Ovnsbakt persillerot,1 kg Persillerot eller andre rotgrønnsaker; 0.5 dl Strimlet flatpersille; 100 gr Smør; 1 klype Salt; 1 klype Pepper,https://www.rema.no/oppskrifter/gronnsaker/ovnsbakt-persillerot/
Blekksprutpølser,1 Skinnfrie kjøttpølser  (Nordfjord Kjøtt),https://www.rema.no/oppskrifter/svin/polser/blekksprutpolser/
Focaccia med rosmarin og bacon,0.5 pose Tørrgjær; 500 gr Hvetemel eller pizzamel; 0.5 ts Sukker; 0.5 ts Salt; 2 dl Lunkent vann; 3 ss Olivenolje; 4 stang Små grener rosmarin; 2 stk Bacon; 1 klype Flaksalt; 2 ss Olivenolje,https://www.rema.no/oppskrifter/bakst/brod-og-rundstykker/focaccia-med-rosmarin-og-bacon/
Toscansk bønnesuppe,"2 stk Løk, finhakket; 4 stang Selleristilker, skåret i små terninger; 4 stk Gulrøtter, skåret i små terninger; 3 fedd Hvitløk, finhakket; 2 stk Laurbærblad; 2 ss Fersk timian, finhakket; 2 ss Fersk bladpersille, finhakket; 2 boks Hakkede tomater; 1.5 l Grønnsakskraft  (eller kyllingkraft); 400 gr Hvite bønner; 0.5 pose Strimlet grønnkål; 2 ss Olivenolje; 2 ss Smør; 1 klype Salt og pepper",https://www.rema.no/oppskrifter/gronnsaker/toscansk-bonnesuppe/
Laks med spinat og kikerter,4 stk Laksefileter; 4 skive Spekeskinke; 0.5 pose Vasket spinat; 1 Kikerter; 1 Ris eller 1 pose blomkålris; 2 ss Solsikkeolje; 1 klype Salt og pepper,https://www.rema.no/oppskrifter/grillmat/fisk/laks-med-spinat-og-kikerter/
Greske kjøttboller med gresk salat,500 gr Kjøttdeig; 1 skive Lyst brød  (eller 1 glutenfritt fint rundstykke fra Goodly); 1 stk Egg; 4 ss Melk; 0.5 Fetaost; 50 gr Sorte oliven  (kalamata eller sort oliven uten sten); 2 ss Tørket oregano; 0.5 stk Grønn eller rød paprika; 0.5 kurv Cherrytomater; 0.5 stk Agurk; 0.5 stk Rødløk; 0.3 pose Vasket spinat; 1 ts Salt; 0.5 ts Kvernet pepper; 4 ss Olivenolje,https://www.rema.no/oppskrifter/kjottdeig/greske-kjottboller-med-gresk-salat/
Nudler med kylling i peanøttsaus,"1 pk Lårfilet av kylling fra Solvinge; 1 Eggnudler  (eventuelt glutenfri spaghetti fra Goodly); 50 gr Grovt peanøttsmør; 2 ss Soyasaus; 1 fedd Hvitløk, revet; 1 ss Ingefær, finrevet; 1 stk Rød chili, skiver; 0.5 Kokosmelk; 1 stk Lime, i fire båter; 1 neve Koriander til pynt; 1 ss Olje til steking; 1 dl Vann; 2 ss Nøytral olje",https://www.rema.no/oppskrifter/kylling-og-hons/kyllinglar/nudler-med-kylling-i-peanottsaus/
Tagliatelle med scampi og chorizo,"1 stk Løk, finhakket; 1 fedd Hvitløk, finhakket; 16 stk Rå scampi, renset og uten skall; 80 gr Chorizo eller pepperoni skåret i strimler; 0.5 stk Grønn eller rød paprika, skåret i strimler; 2 dl Kremfløte; 2 Tagliatelle fra Kolonihagen; 1 neve Vesterhavsost, finrevet; 1 ts Sitronskall, finrevet; 1 neve Bladpersille; 1 ss Olivenolje; 1 klype Salt og pepper",https://www.rema.no/oppskrifter/pasta/tagliatelle-med-scampi-og-chorizo/
Ovnsbakt skrei med chorizo,"800 gr Skrei eller torskefilet uten skinn; 50 gr Chorizo; 50 gr Mandler; 2 ss Strimlet bladpersille; 1 ts Salt; 1 klype Kvernet sort pepper; 100 gr Smør; 0.8 kg Søtpotet; 0.5 dl Fløte; 1 stk Lime, finrevet skall og saften av den; 1 ss Ingefær, finrevet; 2 ss Smør; 2 ss Olivenolje; 2 ts Salt; 1 klype Kvernet sort pepper; 1 pk Hjertesalat; 0.5 potte Bladpersille, basilikum, dill eller gressløk; 1 bunt Reddik; 1 ss Sitronsaft; 2 ss Olivenolje; 1 klype Salt og pepper",https://www.rema.no/oppskrifter/fisk/torsk/ovnsbakt-skrei-med-chorizo/
Pannestekt skrei med potetpuré,"800 gr Skreifilet eller torskefilet uten skinn; 2 ss Fersk timian, hakket; 4 fedd Hvitløk, knust; 1 pk Sjampinjong; 1 potte Persille; 2 ss Sitronsaft; 1 ts Salt; 1 klype Kvernet sort pepper; 0.5 dl Solsikkeolje; 2 ss Smør; 1 pose Babyspinat; 1 dl Yoghurt, naturell; 1 ss Sitronsaft; 0.5 ss Sukker; 1 klype Salt og pepper; 500 gr Mandelpotet; 2.5 dl Melk; 50 gr Smør; 1 ts Salt; 0.3 ts Pepper",https://www.rema.no/oppskrifter/fisk/torsk/pannestekt-skrei-med-potetpure/
Scampigryte med spinatpotetmos,"20 stk Ukokte scampi, renset og tint; 1 fedd Hvitløk, finhakket; 0.5 stk Grønn eller rød paprika; 50 gr Sorte oliven; 0.5 kurv Cherrytomater; 2 ss Finhakket persille; 2 ss Olje; 1 klype Salt og pepper; 1 Ferdig potetmos; 0.3 pose Spinat",https://www.rema.no/oppskrifter/skalldyr/scampi/scampigryte-med-spinatpotetmos/
Asiatiske kjøttboller og soyamarinert egg,4 stk Eggeplommer; 400 gr Svinekjøttdeig; 1 stk Lyst rundstykke eller to stykk lyst brød; 4 ss Melk; 2 dl Soyasaus; 1 ts Finrevet ingefær; 2 fedd Hvitløk; 1 stk Lime; 1 stk Rød chili; 1 dl Salte peanøtter; 3 Vårløk; 0.5 potte Koriander; 1 Nudler  (200g); 1 klype Salt; 1 klype Pepper; 2 ss Nøytral olje,https://www.rema.no/oppskrifter/svin/asiatiske-kjottboller-og-soyamarinert-egg/
Tortilla med kylling og salsa,"4 stk Tortillalefser; 2 stk Kyllinglår, ferdig grillet fra Solvinge; 1 stk Rød paprika; 1 stk Rød chili; 2 dl Revet ost; 0.5 dl Olivenolje; 3 stk Tomater; 1 stk Rødløk; 1 fedd Hvitløk; 1 stk Rød chili; 1 ss Limesaft; 1 ts Spisskumin; 0.3 potte Koriander; 1 klype Salt og pepper",https://www.rema.no/oppskrifter/kylling-og-hons/kyllingfilet/tortilla-med-kylling-og-salsa/
